Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,56,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.2857142857,56.0,0.0,56,56,56,56.0,0.0,56,56,0,0.0,0.0,0,0,0,40,0,35714.2857142857,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2052,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,951,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2103.0494216614,951.0,0.0,951,951,951,951.0,0.0,951,951,0,0.0,0.0,0,0,0,40,0,2103.0494216614,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -XSS
443,6,322,3,0,46,0,46,0,15.33333333,26.55811238,0,0,0.0,0.0,142857.1429,9316.770186,161.0,50.91168825,197,125,322,161.0,50.91168825,197,125,0,0.0,0.0,0,0,0,60,0,9316.770186,0.0,0,46,11.5,23.0,529.0,0,0,0,0,1,0,0,0,15.33333333,15.33333333,0.0,3,46,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22,6,405494,22,22,1960,2665,640,0,89.0909090909,137.9533769037,976,0,121.1363636364,258.6415602914,11405.8407769289,108.5096203643,9430.0930232558,25248.1560437626,136458,3,405433,19306.3333333333,34466.6670151515,136458,277,405486,19308.8571428571,44721.3636479096,175656,12,0,712,712,54.2548101821,54.2548101821,0,976,102.7777777778,203.7465994015,41512.6767676768,0,0,0,1,0,0,0,1,105.1136363636,89.0909090909,121.1363636364,22,1960,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
80,6,103075656,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1552257887,0.0388064472,34358552.0,59510754.2743957,103075652,2,103075654,103075654.0,0.0,103075654,103075654,103075654,103075654.0,0.0,103075654,103075654,1,64,64,0.0194032236,0.0194032236,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,1,6.0,8.0,0.0,2,16,2,0,211,219,1,32,2.0,0.0,2,2,103075652.0,0.0,103075652,103075652,DoS attacks-Slowloris
53,17,18543,1,1,32,48,32,32,32.0,0.0,48,48,48.0,0.0,4314.2965,107.8574125,18543.0,0.0,18543,18543,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,53.92870625,53.92870625,32,48,37.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,1,56.0,32.0,48.0,1,32,1,48,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53631,6,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1,0,1,0,31088,63734,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Infilteration
80,6,103885918,2,1,464,0,464,0,232.0,328.0975464706,0,0,0.0,0.0,4.4664378862,0.0288778312,51942959.0,73458435.6733761,103885917,1,103885917,103885917.0,0.0,103885917,103885917,0,0.0,0.0,0,0,0,64,20,0.0192518874,0.0096259437,0,464,116.0,232.0,53824.0,0,0,0,0,1,0,0,0,154.6666666667,232.0,0.0,2,464,1,0,226,0,1,32,0.0,0.0,0,0,103885917.0,0.0,103885917,103885917,DoS attacks-GoldenEye
80,6,56486858,203,104,56083,189890,680,0,276.2709359606,291.6989844299,1935,0,1825.8653846154,320.3528108981,4354.5172932083,5.4348924842,184597.575163399,363172.568546422,1015096,18,56484582,279626.643564356,416456.92561469,1015096,204,56486833,548415.854368932,442591.342443046,1017708,37,0,4072,2092,3.5937562681,1.8411362161,0,1935,798.6136363636,793.9687040467,630386.303005627,0,0,1,1,0,0,1,0,801.2149837134,276.2709359606,1825.8653846154,203,56083,104,189890,8192,1281,101,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -XSS
59976,6,6536,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,458.996328,3268.0,1845.548699,4573,1963,0,0.0,0.0,0,0,4573,4573.0,0.0,4573,4573,0,32,64,152.998776,305.997552,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,1,0,2,0,237,225,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,9788,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,66305.6804250102,715.1614221496,1631.3333333333,3531.7265843588,8834,1,618,309.0,176.7766952966,434,184,9408,3136.0,4942.8937880557,8834,1,0,72,92,306.4977523498,408.6636697998,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,1,92.7142857143,53.6666666667,122.0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,112639953,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266335338,56319976.5,74.2462120246,56320029,56319924,112639953,56319976.5,74.2462120246,56320029,56319924,0,0.0,0.0,0,0,0,0,0,0.0266335338,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56319976.5,74.2462120246,56320029,56319924,Benign
80,6,5007459,4,4,510,388,510,0,127.5,255.0,388,0,97.0,194.0,179.3324718185,1.5976166754,715351.285714286,1867826.28263335,4950939,16,56520,18840.0,32205.3703440901,56027,70,5007436,1669145.33333333,2889090.84056998,5005180,486,0,92,92,0.7988083377,0.7988083377,0,510,99.7777777778,200.3258456726,40130.4444444444,0,0,1,1,0,0,1,1,112.25,127.5,97.0,4,510,4,388,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,6587170,4,4,97,232,97,0,24.25,48.5,232,0,58.0,116.0,49.9455760213,1.2144820917,941024.285714286,2462651.97697237,6525559,41,61611,20537.0,35300.0824786572,61298,118,6587016,2195672.0,3802435.22374228,6586346,328,0,92,92,0.6072410459,0.6072410459,0,232,36.5555555556,80.0048609634,6400.7777777778,0,0,0,1,0,0,0,1,41.125,24.25,58.0,4,97,4,232,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,45695,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,65.65269723,22847.5,27130.98009,42032,3663,45695,22847.5,27130.98009,42032,3663,0,0.0,0.0,0,0,0,96,0,65.65269723,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk
53,17,908,1,1,38,66,38,38,38.0,0.0,66,66,66.0,0.0,114537.444933921,2202.6431718062,908.0,0.0,908,908,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,1101.3215859031,1101.3215859031,38,66,47.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,1,71.0,38.0,66.0,1,38,1,66,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,41176,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,48.57198368,41176.0,0.0,41176,41176,41176,41176.0,0.0,41176,41176,0,0.0,0.0,0,0,0,64,0,48.57198368,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk
46288,6,4150408,5,3,935,358,935,0,187.0,418.1447118,358,0,119.3333333,206.6913964,311.535637,1.927521342,592915.4286,1543727.965,4093631,5,4150408,1037602.0,2037401.133,4093637,22,30332,15166.0,21081.68157,30073,259,0,168,104,1.204700839,0.722820503,0,935,143.6666667,319.4972613,102078.5,0,0,0,0,1,0,0,0,161.625,187.0,119.3333333,5,935,3,358,237,211,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,110,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18181.8181818182,110.0,0.0,110,110,110,110.0,0.0,110,110,0,0.0,0.0,0,0,0,40,0,18181.8181818182,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2047,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
21,6,28,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,71428.5714285714,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,35714.2857142857,35714.2857142857,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
80,6,21,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.0952380952,21.0,0.0,21,21,21,21.0,0.0,21,21,0,0.0,0.0,0,0,0,40,0,95238.0952380952,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2051,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,6,11970215,4,4,482,972,482,0,120.5,241.0,972,0,243.0,486.0,121.468160764,0.6683255063,1710030.71428571,2973214.78386049,6962957,6,6967547,2322515.66666667,4019008.89969969,6963267,457,11970208,3990069.33333333,3588213.86430998,6962957,4279,0,136,136,0.3341627531,0.3341627531,0,972,161.5555555556,343.1847574963,117775.777777778,0,0,0,1,0,0,0,1,181.75,120.5,243.0,4,482,4,972,26883,219,1,32,4286.0,0.0,4286,4286,6962957.0,0.0,6962957,6962957,DoS attacks-GoldenEye
80,17,119716141,142642,0,4564544,0,32,32,32.0,0.0,0,0,0.0,0.0,38128.05827,1191.501821,839.2828219,17960.89782,587310,0,120000000,839.2828219,17960.89782,587310,0,0,0.0,0.0,0,0,0,1141136,0,1191.501821,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00022434,32.0,0.0,142642,4564544,0,0,-1,-1,142641,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
80,6,5013860,4,4,598,1878,598,0,149.5,299.0,1878,0,469.5,939.0,493.8311001903,1.5955770604,716265.714285714,1891045.25946954,5004751,19,9109,3036.3333333333,2589.6481099434,5571,395,5013834,1671278.0,2887240.47190514,5005176,3531,0,92,92,0.7977885302,0.7977885302,0,1878,275.1111111111,632.7828309231,400414.111111111,0,0,1,1,0,0,1,1,309.5,149.5,469.5,4,598,4,1878,8192,220,1,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
0,0,112641180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332437,56320590.0,5.6568542495,56320594,56320586,112641180,56320590.0,5.6568542495,56320594,56320586,0,0.0,0.0,0,0,0,0,0,0.0266332437,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320590.0,5.6568542495,56320594,56320586,Brute Force -Web
58116,6,4460878,5,4,935,592,935,0,187.0,418.1447118,296,0,148.0,170.8956797,342.3092943,2.017540045,557609.75,1446720.954,4132099,7,4460878,1115219.5,2015463.677,4132106,21,292440,97480.0,131096.5247,247137,2944,0,168,136,1.12085558,0.896684464,0,935,152.7,301.1614739,90698.23333,0,0,0,0,1,0,0,0,169.6666667,187.0,148.0,5,935,4,592,219,211,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
60443,6,234,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8547.008547,234.0,0.0,234,234,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,24,20,4273.504274,4273.504274,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Infilteration
80,6,7137868,5,3,405,972,405,0,81.0,181.1215061775,972,0,324.0,561.1844616523,192.9147470925,1.1207828444,1019695.42857143,2619008.76016728,6957098,3,7137868,1784467.0,3449652.0968088,6957378,26,6957368,3478684.0,4919220.25434845,6957098,270,0,168,104,0.7004892778,0.4202935667,0,972,153.0,335.0611884418,112266.0,0,0,0,1,0,0,0,0,172.125,81.0,324.0,5,405,3,972,26883,219,1,32,273.0,0.0,273,273,6957098.0,0.0,6957098,6957098,DoS attacks-GoldenEye
80,17,119684930,139569,0,4466208,0,32,32,32.0,0.0,0,0,0.0,0.0,37316.37726,1166.136789,857.5384759,18441.71971,605377,1,120000000,857.5384759,18441.71971,605377,1,0,0.0,0.0,0,0,0,1116552,0,1166.136789,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00022928,32.0,0.0,139569,4466208,0,0,-1,-1,139568,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
54834,6,4465734,5,4,935,650,935,0,187.0,418.1447118,325,0,162.5,187.6388375,354.9248567,2.015346189,558216.75,1462048.621,4172063,6,4465734,1116433.5,2039607.916,4172070,20,237418,79139.33333,118089.9157,214909,292,0,168,136,1.119636772,0.895709418,0,935,158.5,304.4580796,92694.72222,0,0,0,0,1,0,0,0,176.1111111,187.0,162.5,5,935,4,650,219,211,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,17,119961579,84781,0,2712992,0,32,32,32.0,0.0,0,0,0.0,0.0,22615.50759,706.7346121,1414.974982,28689.31867,945245,0,120000000,1414.974982,28689.31867,945245,0,0,0.0,0.0,0,0,0,678248,0,706.7346121,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00037744,32.0,0.0,84781,2712992,0,0,-1,-1,84780,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
21,6,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest
500,17,89479693,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5271601792,0.0670543204,17895938.6,15345165.0546155,41990422,4000305,89479693,17895938.6,15345165.0546155,41990422,4000305,0,0.0,0.0,0,0,0,48,0,0.0670543204,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,6,3000,0,0,-1,-1,5,8,4000305.0,0.0,4000305,4000305,21369847.0,15281094.7555224,41990422,7200434,Brute Force -Web
21,6,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest
60844,6,5294989,5,4,935,335,935,0,187.0,418.1447118,335,0,83.75,167.5,239.8494123,1.699720245,661873.625,1477982.552,4210860,4,5294989,1323747.25,2612168.829,5241956,89,1056910,352303.3333,587881.7507,1031091,6551,0,168,144,0.944289025,0.75543122,0,935,127.0,302.794393,91684.44444,0,0,0,0,1,0,0,0,141.1111111,187.0,83.75,5,935,4,335,219,211,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
36698,6,4069442,5,3,935,284,935,0,187.0,418.1447118,284,0,94.66666667,163.9674764,299.549668,1.965871488,581348.8571,1494467.86,3970064,6,4069442,1017360.5,1968617.141,3970070,24,44238,22119.0,30771.8729,43878,360,0,168,104,1.22866968,0.737201808,0,935,135.4444444,314.2002193,98721.77778,0,0,0,0,1,0,0,0,152.375,187.0,94.66666667,5,935,3,284,219,211,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,17,119812334,114957,0,3678624,0,32,32,32.0,0.0,0,0,0.0,0.0,30703.21625,959.4755078,1042.245155,20304.55708,628680,0,120000000,1042.245155,20304.55708,628680,0,0,0.0,0.0,0,0,0,919656,0,959.4755078,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00027836,32.0,0.0,114957,3678624,0,0,-1,-1,114956,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
80,6,872,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2293.577982,872.0,0.0,872,872,872,872.0,0.0,872,872,0,0.0,0.0,0,0,0,64,0,2293.577982,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk
53,17,832,1,1,45,73,45,45,45.0,0.0,73,73,73.0,0.0,141826.9231,2403.846154,832.0,0.0,832,832,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,1201.923077,1201.923077,45,73,54.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,1,81.5,45.0,73.0,1,45,1,73,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,1811981,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.1037643331,1811981.0,0.0,1811981,1811981,1811981,1811981.0,0.0,1811981,1811981,0,0.0,0.0,0,0,0,64,0,1.1037643331,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,6305,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,317.2085646,6305.0,0.0,6305,6305,6305,6305.0,0.0,6305,6305,0,0.0,0.0,0,0,0,64,0,317.2085646,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk
54062,6,1493,5,2,935,339,935,0,187.0,418.1447118,339,0,169.5,239.7091988,853315.4722,4688.546551,248.8333333,372.0932231,973,7,1493,373.25,591.4205357,1250,7,973,973.0,0.0,973,973,0,124,40,3348.961822,1339.584729,0,935,159.25,335.1463433,112323.0714,0,0,1,1,0,0,1,0,182.0,187.0,169.5,5,935,2,339,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
500,17,89479777,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5271287053,0.0670542574,17895955.4,15345249.8397277,41990557,4000280,89479777,17895955.4,15345249.8397277,41990557,4000280,0,0.0,0.0,0,0,0,48,0,0.0670542574,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,6,3000,0,0,-1,-1,5,8,4000280.0,0.0,4000280,4000280,21369874.25,15281192.4387131,41990557,7200320,Brute Force -Web
443,6,139923,7,7,1526,4796,1141,0,218.0,417.0423639552,1460,0,685.1428571429,652.6225117609,45181.9929532672,100.0550302666,10763.3076923077,12421.6934391989,35226,13,139923,23320.5,21914.5055499776,59821,1050,83505,13917.5,14685.1896651014,32451,28,0,152,152,50.0275151333,50.0275151333,0,1460,421.4666666667,570.2846240089,325224.552380952,0,0,0,1,0,0,0,1,451.5714285714,218.0,685.1428571429,7,1526,7,4796,8192,513,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,17,119757981,120595,0,3859040,0,32,32,32.0,0.0,0,0,0.0,0.0,32223.65614,1006.989254,993.0674909,19848.83811,668017,0,120000000,993.0674909,19848.83811,668017,0,0,0.0,0.0,0,0,0,964760,0,1006.989254,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00026535,32.0,0.0,120595,3859040,0,0,-1,-1,120594,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
80,6,5004749,5,3,646,364,646,0,129.2,288.899982693,364,0,121.3333333333,210.155497985,201.8083224553,1.598481762,714964.142857143,1863026.51627832,4939593,18,5004749,1251187.25,2459119.40143789,4939593,395,3173,1586.5,696.5001794687,2079,1094,0,112,72,0.9990511013,0.5994306608,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,1,0,126.25,129.2,121.3333333333,5,646,3,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,17,119741839,131717,0,4214944,0,32,32,32.0,0.0,0,0,0.0,0.0,35200.26112,1100.00816,909.0910671,17492.06685,554145,0,120000000,909.0910671,17492.06685,554145,0,0,0.0,0.0,0,0,0,1053736,0,1100.00816,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,32.00024295,32.0,0.0,131717,4214944,0,0,-1,-1,131716,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP
21,6,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-SlowHTTPTest
